time	ctime	crpm	ccrpm	cfr	ccfr	cmdl	cpx	cpy	cpz	cm	ct	csn	cbn	cls	clx	cly	clz	asprms	aaccrms	asoundrms	cut
211105 14:46:50.075	0.025	601.000000	600.000000	48.000000	8.000000	G01	64.411000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.112554	0.359165	0.008635	1	
211105 14:46:50.175	0.125	601.000000	600.000000	48.000000	8.000000	G01	64.411000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.196549	0.307318	0.007640	1	
211105 14:46:50.275	0.225	601.000000	600.000000	48.000000	8.000000	G01	64.411000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.429348	0.216462	0.007938	1	
211105 14:46:50.375	0.325	600.000000	600.000000	48.000000	8.000000	G01	63.796000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.551009	0.233495	0.007531	1	
211105 14:46:50.475	0.425	600.000000	600.000000	48.000000	8.000000	G01	63.796000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.638245	0.221246	0.007610	1	
211105 14:46:50.575	0.525	600.000000	600.000000	48.000000	8.000000	G01	63.796000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.614818	0.191538	0.007673	1	
211105 14:46:50.675	0.625	600.000000	600.000000	48.000000	8.000000	G01	63.796000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.530105	0.219010	0.007644	1	
211105 14:46:50.775	0.725	600.000000	600.000000	48.000000	8.000000	G01	63.233000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.359961	0.201184	0.007563	1	
211105 14:46:50.875	0.825	600.000000	600.000000	48.000000	8.000000	G01	63.233000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.587736	0.350668	0.008082	1	
211105 14:46:50.975	0.925	600.000000	600.000000	48.000000	8.000000	G01	63.233000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.731120	0.250167	0.007813	1	
211105 14:46:51.075	1.025	600.000000	600.000000	48.000000	8.000000	G01	62.720000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.677660	0.209861	0.007600	1	
211105 14:46:51.175	1.125	600.000000	600.000000	48.000000	8.000000	G01	62.720000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.427677	0.287789	0.007701	1	
211105 14:46:51.275	1.225	600.000000	600.000000	48.000000	8.000000	G01	62.720000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.425985	0.279486	0.007847	1	
211105 14:46:51.375	1.325	600.000000	600.000000	48.000000	8.000000	G01	62.720000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.490960	0.211642	0.007675	1	
211105 14:46:51.475	1.425	601.000000	600.000000	48.000000	8.000000	G01	62.208000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.626121	0.233073	0.007814	1	
211105 14:46:51.575	1.525	601.000000	600.000000	48.000000	8.000000	G01	62.208000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.644410	0.203753	0.007877	1	
211105 14:46:51.675	1.625	601.000000	600.000000	48.000000	8.000000	G01	62.208000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.511243	0.282067	0.007796	1	
211105 14:46:51.775	1.725	601.000000	600.000000	48.000000	8.000000	G01	61.696000	0.150000	0.000000	8.000000	101.000000	1.000000	8.000000	1.000000	0.000000	0.000000	0.000000	7.354395	0.222153	0.007598	1	
